trace_id,side,role,is_fee_evaluated,platform_fee_rate,platform_fee_asset,exchange_fee_rate,exchange_fee_asset
9201774330248117116,Bid,Taker,True,0.13229,base,0.13229,base
9201774330248117116,Bid,Taker,True,0.13229,base,0.0,base
9201785325362966179,Bid,Maker,True,-0.00135,aux,-0.00135,aux
9201802367791692942,Ask,Maker,True,-0.0027,base,0.0,quote
9202010175490859121,Ask,Maker,False,-0.00269,base,-0.00269,base
9202010175490859121,Ask,Maker,False,-0.00269,base,-0.00269,base
9202033814989543480,Bid,Maker,False,-0.00134,aux,-0.00134,aux
9202129197621864894,Bid,Maker,True,-0.00134,aux,-0.00134,aux
9202145415421294717,Bid,Maker,True,-0.00134,aux,-0.00134,aux
9202174827356843132,Bid,Maker,True,-0.01,quote,0.0,base
9202211935874444236,Bid,Maker,True,-0.00134,aux,-0.00134,aux
9202329583618514793,Ask,Maker,False,-0.00133,aux,-0.00133,aux
9202749871936561926,Bid,Maker,False,-0.00133,aux,-0.00133,aux
9202944485495424533,Ask,Maker,False,-0.01584,base,-0.01584,base
9202944485497156788,Ask,Maker,False,-0.00198,aux,-0.00198,aux
9202944485496956341,Ask,Maker,False,-0.00132,aux,-0.00132,aux
9202945035252971029,Ask,Maker,False,-0.00132,aux,-0.00132,aux
9202945035252971029,Ask,Maker,False,-0.00132,aux,-0.00132,aux
9202945035252971062,Ask,Maker,False,-0.00132,aux,-0.00132,aux
9203100891024032640,Bid,Maker,True,-0.01,quote,0.0,base
9203197922926568754,Ask,Maker,True,-0.00132,aux,-0.00132,aux
9203215789989607576,Ask,Maker,False,-0.00132,aux,-0.00132,aux
9203215789990261550,Bid,Taker,False,0.03503,base,0.03503,base
9203243002902197043,Bid,Maker,True,-0.01,quote,0.0,base
9203243552659092104,Bid,Maker,True,-0.00132,aux,-0.00132,aux
9203251524116350135,Bid,Maker,True,-0.00132,aux,-0.00132,aux
9203447786943776795,Ask,Maker,False,-0.0158,base,-0.0158,base
9203596495891676181,Ask,Maker,True,-0.00129,aux,-0.00129,aux
9203596495891676181,Ask,Maker,True,-0.00129,aux,-0.00129,aux
9203598969792501616,Ask,Maker,False,-0.00129,aux,-0.00129,aux
9203599244670408637,Bid,Taker,True,0.1334,base,0.1334,base
9203599519550220172,Ask,Maker,True,-0.00129,aux,-0.00129,aux
9203600619058040455,Ask,Maker,False,-0.0605,base,-0.0605,base
9203600619060788248,Ask,Maker,False,-0.00129,aux,-0.00129,aux
9203600893938695268,Bid,Maker,True,-0.00129,aux,-0.00129,aux
9203638552210663170,Ask,Maker,False,-0.00193,aux,-0.00193,aux
9203645699038339726,Bid,Maker,False,-0.015,quote,-0.015,quote
9203677859752949054,Bid,Maker,False,-0.00129,aux,-0.00129,aux
9203692703158654003,Ask,Maker,False,-0.05979,base,-0.05979,base
9203692703160479507,Ask,Maker,False,-0.05979,base,-0.05979,base
9203694077549254467,Bid,Maker,True,-0.00129,aux,-0.00129,aux
9203694902181152125,Bid,Maker,True,-0.00129,aux,-0.00129,aux
9203725688508108912,Ask,Maker,True,-0.05986,base,0.0,quote
9203725688508108912,Ask,Maker,True,-0.05986,base,0.0,quote
9203803204078962347,Bid,Maker,False,-0.00129,aux,-0.00129,aux
9203803204076221782,Bid,Maker,False,-0.00129,aux,-0.00129,aux
9203803204078962464,Bid,Maker,False,-0.00193,aux,-0.00193,aux
9203804028710026218,Ask,Maker,False,-0.05983,base,-0.05983,base
9203913430116814824,Ask,Maker,True,-0.05945,base,0.0,quote
9203921951332534783,Bid,Maker,True,-0.00129,aux,-0.00129,aux
9204130858543338479,Bid,Maker,True,-0.0013,aux,-0.0013,aux
9204168241938338923,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9204168516816245879,Ask,Maker,True,-0.00131,aux,-0.00131,aux
9204214421425105763,Ask,Maker,True,-0.00131,aux,-0.00131,aux
9204245482628875855,Ask,Maker,False,-0.00263,base,-0.00263,base
9204292211874112234,Ask,Maker,False,-0.00264,base,-0.00264,base
9204309529183789867,Bid,Maker,True,-0.00131,aux,-0.00131,aux
9204438446920759418,Bid,Maker,False,-0.01,quote,-0.01,quote
9204438446919718265,Ask,Maker,False,-0.00132,aux,-0.00132,aux
9204438721797338793,Ask,Maker,False,-6e-05,base,-6e-05,base
9204447792769482538,Ask,Maker,False,-0.06084,base,-0.06084,base
9205207005547577491,Bid,Maker,True,-0.01,quote,0.0,base
9205207005547577491,Bid,Maker,True,-0.01,quote,0.0,base
9205225972124083661,Bid,Maker,False,-0.01,quote,-0.01,quote
9205350216938167701,Bid,Maker,False,-0.00198,aux,-0.00198,aux
9205778201839007274,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9205779301349910366,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9205779301349910366,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9205779576226476102,Ask,Maker,True,-0.05912,base,0.0,quote
9205779576226421912,Bid,Maker,True,-0.01,quote,0.0,base
9205780675738025754,Bid,Maker,False,-0.01,quote,-0.01,quote
9205780675738025772,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9205780675738025772,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9205786448174096238,Bid,Maker,True,-0.00131,aux,-0.00131,aux
9205858741063904652,Bid,Maker,False,-0.01,quote,-0.01,quote
9205891451535373406,Ask,Maker,False,-0.0,base,-0.0,base
9205905195432961174,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9205935706878753464,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9205981611490754121,Ask,Maker,False,-0.00131,aux,-0.00131,aux
