side,role,platform_fee_rate,platform_fee_asset,exchange_fee_rate,exchange_fee_asset
Bid,Maker,-0.0006230563974173,aux,0,base
Ask,Maker,-0.0075,base,-0.0075,base
Ask,Maker,-0.0010607377789242,aux,0,quote
Ask,Maker,-0.0010607377789242,aux,0,quote
Ask,Maker,-0.0010618405778408,aux,0,quote
Bid,Taker,0.11,base,0.11,base
Ask,Maker,-0.0010645400593471,aux,0,quote
Ask,Maker,-0.05,base,-0.05,base
Ask,Maker,-0.0010670945684427,aux,0,quote
Bid,Maker,-0.0006139530383176,aux,0,base
Ask,Maker,-0.0013104304678437,aux,0,quote
Bid,Maker,-0.0101799,quote,-0.0101799,quote
Bid,Maker,-0.0010368808049535,aux,0,base
Ask,Maker,-0.00435,base,-0.00435,base
Ask,Maker,-0.04565,base,-0.04565,base
Bid,Maker,-0.000609217823059,aux,0,base
Bid,Maker,-0.0006090920815063,aux,0,base
Ask,Maker,-0.05,base,0,quote
Ask,Maker,-0.05,base,0,quote
Bid,Maker,-0.0006087416193914,aux,0,base
Bid,Maker,-0.0006162648272305,aux,0,base
Bid,Maker,-0.0013181201650335,aux,0,base
Ask,Maker,-0.05,base,-0.05,base
Ask,Maker,-0.05,base,0,quote
Bid,Maker,-0.0006107198242439,aux,0,base
Bid,Maker,-0.0010798134231666,aux,0,base
Ask,Maker,-0.0009888728891216,aux,0,quote
Ask,Maker,-0.0009892670157068,aux,0,quote
Ask,Maker,-0.0009894214444299,aux,0,quote
Ask,Maker,-0.002,base,-0.002,base
Ask,Maker,-0.002,base,-0.002,base
Bid,Maker,-0.0010839166338969,aux,0,base
Bid,Maker,-0.00788355,quote,-0.00788355,quote
Ask,Maker,-0.0010388764488935,aux,0,quote
Ask,Maker,-1.9e-05,base,-0.000019,base
Ask,Maker,-0.05,base,-0.05,base
Bid,Maker,-0.00784665,quote,0,base
Bid,Maker,-0.00784665,quote,0,base
Bid,Maker,-0.0078201,quote,-0.0078201,quote
Bid,Maker,-0.0013446219704952,aux,0,base
Ask,Maker,-0.0010995153896529,aux,0,quote
Ask,Maker,-0.0011043483955468,aux,0,quote
Ask,Maker,-0.0011043483955468,aux,0,quote
Ask,Maker,-0.05,base,0,quote
Bid,Maker,-0.00845455,quote,0,base
Bid,Maker,-0.001606164705,quote,-0.001606164705,quote
Bid,Maker,-0.0008974178513425,aux,0,base
Bid,Maker,-0.0008974178513425,aux,0,base
Bid,Maker,-0.0011084490437516,aux,0,base
Bid,Maker,-0.0047595,quote,-0.0047595,quote
Ask,Maker,-3e-06,base,-0.000003,base
Ask,Maker,-0.0011212355718782,aux,0,quote
Ask,Maker,-0.000978157875,aux,0,quote
Ask,Maker,-0.0005073746390128,aux,0,quote
Bid,Maker,-0.0011302674708273,aux,0,base
Bid,Maker,-0.0006216588050314,aux,0,base
Bid,Maker,-0.0011290170380078,aux,0,base
Bid,Maker,-0.0006211336828309,aux,0,base
Bid,Maker,-0.0004611340246395,aux,0,base
Bid,Maker,-0.0004611340246395,aux,0,base
Bid,Maker,-0.0006682106673656,aux,0,base
