side,role,platform_fee_rate,platform_fee_asset,exchange_fee_rate,exchange_fee_asset,fee_mismatch,asset_mismatch,difference,sign_mismatch
Ask,Maker,-0.0010588986486486,aux,0.0,quote,True,True,-0.0010588986486486,False
Bid,Maker,-0.00781875,quote,0.0,base,True,True,-0.00781875,False
Bid,Maker,-0.0011023489932885,aux,0.0,base,True,True,-0.0011023489932885,False
Ask,Maker,-0.0010787216607484,aux,0.0,quote,True,True,-0.0010787216607484,False
Ask,Maker,-0.0011056002180133,aux,0.0,quote,True,True,-0.0011056002180133,False
Bid,Maker,-0.0006309318555008,aux,0.0,base,True,True,-0.0006309318555008,False
Ask,Maker,-0.0011139018052516,aux,0.0,quote,True,True,-0.0011139018052516,False
Ask,Maker,-0.0011152185792349,aux,0.0,quote,True,True,-0.0011152185792349,False
Bid,Maker,-0.001371783909302,aux,0.0,base,True,True,-0.001371783909302,False
Bid,Maker,-0.0009373449594985,aux,0.0,base,True,True,-0.0009373449594985,False
Bid,Maker,-0.0001825682516875,aux,0.0,base,True,True,-0.0001825682516875,False
Bid,Maker,-0.0010914840843323,aux,0.0,base,True,True,-0.0010914840843323,False
Bid,Maker,-0.0003737059845132,aux,0.0,base,True,True,-0.0003737059845132,False
Ask,Maker,-0.0011275242047026,aux,0.0,quote,True,True,-0.0011275242047026,False
Ask,Maker,-0.05,base,0.0,quote,True,True,-0.05,False
Bid,Maker,-0.0010927826086956,aux,0.0,base,True,True,-0.0010927826086956,False
Ask,Maker,-0.0011128727567129,aux,0.0,quote,True,True,-0.0011128727567129,False
Bid,Maker,-0.0006263188073394,aux,0.0,base,True,True,-0.0006263188073394,False
Bid,Maker,-0.0011208237677245,aux,0.0,base,True,True,-0.0011208237677245,False
Bid,Taker,0.014135,base,0.0,base,True,False,0.014135,False
Bid,Maker,-0.0011198840657859,aux,0.0,base,True,True,-0.0011198840657859,False
Ask,Maker,-0.002,base,0.0,quote,True,True,-0.002,False
Bid,Maker,-0.0011244729421243,aux,0.0,base,True,True,-0.0011244729421243,False
Bid,Maker,-0.0011188771413276,aux,0.0,base,True,True,-0.0011188771413276,False
Bid,Maker,-0.0011116176470588,aux,0.0,base,True,True,-0.0011116176470588,False
Bid,Maker,-0.00826765,quote,0.0,base,True,True,-0.00826765,False
Bid,Maker,-0.0011040029403902,aux,0.0,base,True,True,-0.0011040029403902,False
Ask,Maker,-0.0006326251997868,aux,0.0,quote,True,True,-0.0006326251997868,False
Bid,Maker,-0.0010518129897728,aux,0.0,base,True,True,-0.0010518129897728,False
Ask,Maker,-0.0013312068737607,aux,0.0,quote,True,True,-0.0013312068737607,False
Ask,Maker,-0.0010846530072703,aux,0.0,quote,True,True,-0.0010846530072703,False
Ask,Maker,-0.000977395902181,aux,0.0,quote,True,True,-0.000977395902181,False
Ask,Maker,-0.000977395902181,aux,0.0,quote,True,True,-0.000977395902181,False
Ask,Maker,-0.0010474219989423,aux,0.0,quote,True,True,-0.0010474219989423,False
Bid,Maker,-0.008245,quote,0.0,base,True,True,-0.008245,False
Ask,Maker,-0.00061952176781,aux,0.0,quote,True,True,-0.00061952176781,False
Ask,Maker,-0.0006201137756918,aux,0.0,quote,True,True,-0.0006201137756918,False
Bid,Maker,-0.001720692603,quote,0.0,base,True,True,-0.001720692603,False
Bid,Maker,-0.0003970677372925,aux,0.0,base,True,True,-0.0003970677372925,False
Bid,Maker,-0.0006230563974173,aux,0.0,base,True,True,-0.0006230563974173,False
Ask,Maker,-0.0010607377789242,aux,0.0,quote,True,True,-0.0010607377789242,False
Ask,Maker,-0.0010607377789242,aux,0.0,quote,True,True,-0.0010607377789242,False
Ask,Maker,-0.0010618405778408,aux,0.0,quote,True,True,-0.0010618405778408,False
Ask,Maker,-0.0010645400593471,aux,0.0,quote,True,True,-0.0010645400593471,False
Ask,Maker,-0.0010670945684427,aux,0.0,quote,True,True,-0.0010670945684427,False
Bid,Maker,-0.0006139530383176,aux,0.0,base,True,True,-0.0006139530383176,False
Ask,Maker,-0.0013104304678437,aux,0.0,quote,True,True,-0.0013104304678437,False
Bid,Maker,-0.0010368808049535,aux,0.0,base,True,True,-0.0010368808049535,False
Bid,Maker,-0.000609217823059,aux,0.0,base,True,True,-0.000609217823059,False
Bid,Maker,-0.0006090920815063,aux,0.0,base,True,True,-0.0006090920815063,False
Ask,Maker,-0.05,base,0.0,quote,True,True,-0.05,False
Ask,Maker,-0.05,base,0.0,quote,True,True,-0.05,False
Bid,Maker,-0.0006087416193914,aux,0.0,base,True,True,-0.0006087416193914,False
Bid,Maker,-0.0006162648272305,aux,0.0,base,True,True,-0.0006162648272305,False
Bid,Maker,-0.0013181201650335,aux,0.0,base,True,True,-0.0013181201650335,False
Ask,Maker,-0.05,base,0.0,quote,True,True,-0.05,False
